bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
72,1,6,1,1,1.2399565492774714e-17,6.659686442881e-17,0.18618842792560403,70851242383390223,3111678730436465905,-1258098713072931,3130642837358915173,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
73,0,6,1,1,8.804437298815509e-18,3.6989612946404825e-17,0.23802458575526267,6481145758774659822,56851248476836074,6412945407123152600,-22993601574161196,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
74,0,6,1,1,3.9519072304928816e-18,6.446005604858075e-18,0.6130784663783879,5887441243005066113,-63888160881980974,5815899564690742639,158849299123459672,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
71,0,6,1,1,3.900384663996149e-18,4.18331380763258e-17,0.09323672197098343,137662824250282257,48434478405287525,-51341127672130341,191484026156316330,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
74,1,6,1,1,3.431300356427336e-18,1.2426549958118397e-17,0.27612654904152467,7843103385010160363,96961912237545444,7830571044019230436,-172186104999876426,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
75,0,6,1,1,3.1464988538540466e-18,4.0138306484371546e-18,0.7839142030267727,4735013083271350992,124708909401195003,4657218170192655955,-158632982685602004,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
72,2,6,1,1,2.375302495110712e-18,8.254482109309526e-17,0.028775911845902617,-416661917755348,3104341795554034798,386663362645160366,3063530710988454677,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
72,0,6,1,1,2.2060643567214896e-18,3.313782241569347e-17,0.06657239962987845,47077243852582040,769620438934540419,-328144215408935700,956277948043174927,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
71,1,6,1,1,1.8192588439297143e-18,2.999224747986583e-17,0.06065763644925261,-484686320219048829,260683591582216939,9978049261895995,377147160067751884,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
73,2,6,1,1,1.4968256898127465e-18,1.1115407973501997e-17,0.13466223582445438,-592399356666226067,6344679349898757037,8831318534548902,6486187940453493521,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
73,1,6,1,1,8.529405852269429e-19,8.646351040763238e-19,0.9864746194154654,101889403529381693,-1012387035629663793,364336128600084495,39291152773041519,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
75,1,6,1,1,8.111382474511856e-19,3.640303453644913e-18,0.22282160203952786,74772711601638048,1525032899975103816,-1011040812966452969,1871635198616916228,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
76,0,6,1,1,8.071627515687877e-19,3.11038824453908e-18,0.2595054662342961,6850777961736871529,110951843396763641,6943524389496672974,-1030692084138144087,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
74,3,6,1,1,6.042944226191662e-19,5.976124323402477e-17,0.010111811433586677,-1369832676379685995,6047719322524877150,4013187666302306,6720945907577347512,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
71,6,6,1,1,5.981572942017198e-19,8.852348194851349e-16,0.000675704661673404,2210283760983772547,-207401607209074286,3741929443393080858,24416285031398,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
71,2,6,1,1,5.147031868131707e-19,2.8310350149603237e-16,0.0018180742523256433,8714811433573741,-1723943238355622283,272327290819557736,52843633836760828,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
77,0,6,1,1,4.409456198717329e-19,3.3469291946321533e-18,0.13174632453501764,1038191509394609095,3596427813874913481,-1013090391907552779,3162410735577124327,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
72,4,6,1,1,4.326402237559467e-19,1.343024761980524e-17,0.032213867979466244,4979203993592498369,785737787331958,3037749376915553071,-892123720751063574,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
76,1,6,1,1,4.2940427060333874e-19,6.159504966117929e-18,0.06971408789592612,-1123328843579380419,-1274288263960956338,164270413485594057,451315053879921356,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
75,2,6,1,1,4.0842192320889974e-19,3.4991885505338714e-17,0.011671903851725474,-1078277042897665702,-1331098256013616162,680388018312907852,94122090244530473,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
72,7,6,1,1,3.766834467783392e-19,2.4079484939320503e-18,0.15643334885591154,31630922987431,3807956815198308314,-2294850666229578286,4678329345496465492,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
